Date,Time,Open,High,Low,Close,Volume
2017-07-14,00:00:00,0.08,0.091033,0.08,0.090993,1942
2017-07-15,00:00:00,0.090993,0.093699,0.087127,0.087635,4013
2017-07-16,00:00:00,0.087508,0.087635,0.075591,0.082241,8904
2017-07-17,00:00:00,0.082368,0.088394,0.081699,0.087537,6650
2017-07-18,00:00:00,0.087831,0.109068,0.084777,0.107732,7245
2017-07-19,00:00:00,0.107732,0.108732,0.08429,0.086853,7384
2017-07-20,00:00:00,0.087144,0.095252,0.074982,0.080509,6395
2017-07-21,00:00:00,0.080383,0.087511,0.079635,0.081581,7434
2017-07-22,00:00:00,0.081586,0.084733,0.079856,0.082474,7979
2017-07-23,00:00:00,0.082312,0.08456,0.081417,0.083533,6340
2017-07-24,00:00:00,0.083438,0.083973,0.082265,0.083161,7380
2017-07-25,00:00:00,0.083149,0.083149,0.075482,0.079654,7845
2017-07-26,00:00:00,0.079676,0.081172,0.07761,0.079892,7496
2017-07-27,00:00:00,0.079815,0.081867,0.077059,0.077449,8311
2017-07-28,00:00:00,0.077059,0.077859,0.066827,0.068802,11013
2017-07-29,00:00:00,0.068797,0.076814,0.064335,0.075773,14305
2017-07-30,00:00:00,0.076009,0.076684,0.069876,0.070109,12989
2017-07-31,00:00:00,0.070406,0.073341,0.06759,0.072484,12029
2017-08-01,00:00:00,0.072459,0.08526,0.07237,0.083568,13623
2017-08-02,00:00:00,0.083568,0.084967,0.07963,0.08016,13678
2017-08-03,00:00:00,0.080168,0.083795,0.078277,0.078965,11389
2017-08-04,00:00:00,0.078965,0.08071,0.076332,0.076475,12523
2017-08-05,00:00:00,0.076563,0.079322,0.071325,0.07916,12348
2017-08-06,00:00:00,0.07916,0.083151,0.07851,0.081029,13069
2017-08-07,00:00:00,0.081029,0.082475,0.079547,0.081171,13667
2017-08-08,00:00:00,0.081171,0.087444,0.078,0.085296,14885
2017-08-09,00:00:00,0.085331,0.093578,0.080372,0.083159,15503
2017-08-10,00:00:00,0.083303,0.09092,0.082489,0.084466,16483
2017-08-11,00:00:00,0.084613,0.087178,0.083167,0.084941,18017
2017-08-12,00:00:00,0.08495,0.087601,0.08001,0.080163,15210
2017-08-13,00:00:00,0.080182,0.080459,0.068007,0.073824,20955
2017-08-14,00:00:00,0.07385,0.079911,0.068535,0.070899,28508
2017-08-15,00:00:00,0.070899,0.0752,0.066161,0.069395,28889
2017-08-16,00:00:00,0.069395,0.076669,0.06831,0.069743,22035
2017-08-17,00:00:00,0.069735,0.072254,0.068077,0.070479,24002
2017-08-18,00:00:00,0.070479,0.073005,0.069565,0.071433,29861
2017-08-19,00:00:00,0.071187,0.073741,0.069925,0.070036,19918
2017-08-20,00:00:00,0.070347,0.073,0.069,0.072198,22530
2017-08-21,00:00:00,0.072198,0.088658,0.071509,0.08052,48283
2017-08-22,00:00:00,0.080688,0.0845,0.07001,0.076825,42660
2017-08-23,00:00:00,0.076794,0.079689,0.074164,0.07706,41661
2017-08-24,00:00:00,0.07706,0.078649,0.074567,0.075339,44430
2017-08-25,00:00:00,0.075302,0.0779,0.074742,0.076587,35690
2017-08-26,00:00:00,0.076593,0.078708,0.075269,0.076647,31475
2017-08-27,00:00:00,0.076647,0.0826,0.075377,0.080436,36949
2017-08-28,00:00:00,0.080649,0.081884,0.078501,0.079632,28745
2017-08-29,00:00:00,0.079632,0.084402,0.079037,0.081551,32574
2017-08-30,00:00:00,0.081551,0.085085,0.080776,0.0842,30766
2017-08-31,00:00:00,0.084032,0.084198,0.081598,0.081967,26520
2017-09-01,00:00:00,0.081967,0.084408,0.080015,0.080849,28097
2017-09-02,00:00:00,0.080849,0.08274,0.073861,0.076396,32502
2017-09-03,00:00:00,0.076396,0.07886,0.07374,0.075938,42102
2017-09-04,00:00:00,0.076031,0.076071,0.065,0.07032,50413
2017-09-05,00:00:00,0.070276,0.072154,0.065655,0.071788,41673
2017-09-06,00:00:00,0.071788,0.073871,0.070954,0.072821,34711
2017-09-07,00:00:00,0.072821,0.07299,0.065,0.0716,16057
2017-09-08,00:00:00,0.0716,0.07251,0.06555,0.070246,22241
2017-09-09,00:00:00,0.070246,0.071678,0.068033,0.070151,8597
2017-09-10,00:00:00,0.0701,0.0711,0.068181,0.070127,7873
2017-09-11,00:00:00,0.070599,0.071998,0.068755,0.07063,7460
2017-09-12,00:00:00,0.0706,0.072784,0.068,0.0706,14505
2017-09-13,00:00:00,0.070763,0.071498,0.067356,0.071468,7572
2017-09-14,00:00:00,0.071398,0.071509,0.067101,0.068765,11387
2017-09-15,00:00:00,0.068047,0.071,0.065,0.069512,10770
2017-09-16,00:00:00,0.069519,0.070036,0.066739,0.068315,8247
2017-09-17,00:00:00,0.068372,0.070488,0.067234,0.069848,4193
2017-09-18,00:00:00,0.069848,0.075913,0.069615,0.0731,5846
2017-09-19,00:00:00,0.073045,0.073523,0.0718,0.072525,8900
2017-09-20,00:00:00,0.072454,0.0734,0.0718,0.073345,16794
2017-09-21,00:00:00,0.073345,0.073799,0.070565,0.07141,24583
2017-09-22,00:00:00,0.07141,0.072964,0.071,0.072964,24350
2017-09-23,00:00:00,0.072874,0.075694,0.071964,0.075557,23028
2017-09-24,00:00:00,0.075556,0.077998,0.075398,0.077123,28776
2017-09-25,00:00:00,0.077184,0.0773,0.074527,0.075174,34549
2017-09-26,00:00:00,0.075173,0.07595,0.073392,0.074491,35669
2017-09-27,00:00:00,0.074492,0.074731,0.071977,0.073445,44263
2017-09-28,00:00:00,0.073465,0.0737,0.071509,0.072509,52476
2017-09-29,00:00:00,0.072507,0.07259,0.069015,0.07091,40578
2017-09-30,00:00:00,0.070878,0.0733,0.069401,0.070062,37140
2017-10-01,00:00:00,0.070181,0.071484,0.068109,0.069105,38693
2017-10-02,00:00:00,0.069104,0.069299,0.0665,0.068658,40647
2017-10-03,00:00:00,0.06829,0.06902,0.066808,0.068016,37219
2017-10-04,00:00:00,0.06775,0.070633,0.067477,0.069249,34536
2017-10-05,00:00:00,0.069147,0.070223,0.067666,0.068509,27871
2017-10-06,00:00:00,0.068509,0.071062,0.067976,0.070986,31667
2017-10-07,00:00:00,0.070779,0.072239,0.069733,0.070365,28812
2017-10-08,00:00:00,0.070262,0.07062,0.066554,0.067053,35998
2017-10-09,00:00:00,0.066964,0.067457,0.058516,0.06215,46465
2017-10-10,00:00:00,0.062316,0.066501,0.059963,0.063038,44208
2017-10-11,00:00:00,0.063047,0.064117,0.061651,0.063065,30902
2017-10-12,00:00:00,0.063064,0.0635,0.055748,0.055763,39216
2017-10-13,00:00:00,0.055763,0.062496,0.051084,0.060017,58977
2017-10-14,00:00:00,0.060019,0.0621,0.057431,0.058679,26992
2017-10-15,00:00:00,0.058679,0.060999,0.057413,0.059281,28566
2017-10-16,00:00:00,0.059107,0.062166,0.057721,0.058294,33150
2017-10-17,00:00:00,0.058026,0.060348,0.055838,0.056612,24987
2017-10-18,00:00:00,0.056612,0.057341,0.055398,0.056161,27764
2017-10-19,00:00:00,0.056299,0.056527,0.0532,0.053886,26329
2017-10-20,00:00:00,0.053886,0.054499,0.049547,0.050511,33404
2017-10-21,00:00:00,0.050503,0.051225,0.04705,0.049954,29712
2017-10-22,00:00:00,0.049954,0.0516,0.048904,0.048973,24111
2017-10-23,00:00:00,0.049336,0.049375,0.047177,0.047839,33580
2017-10-24,00:00:00,0.047852,0.056,0.047184,0.053709,43723
2017-10-25,00:00:00,0.053712,0.054154,0.051572,0.051794,26376
2017-10-26,00:00:00,0.051794,0.052395,0.049509,0.050089,23839
2017-10-27,00:00:00,0.050311,0.051849,0.0495,0.051319,24822
